tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,volume,netAsset,totalAsset,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,dt,position,volumeCallPutRatio,positionCallPutRatio,price,marketValue,turnoverRate,rank_type
913324459,11,2,[61],6,247,USD,Taiwan Semi,TSM,TSM,NYSE,NYSE,1,stock,2023-10-27T23:59:36.838+0000,2023-10-27T23:59:36.838+0000,A,85.99,-1.46,-0.0167,37289,,,United States,US,16.0612,87.45,110.69,59.43,87.54,87.78,85.89,0.0214,,01/10-01/15,86.02,0.03,0.0003,sr,773809,1.15,1.43,85.99,445979757058,0.0024,totalPosition
913244796,95,3,"[6, 34]",6,247,USD,ProShares UltraPro Short QQQ,SQQQ,SQQQ,NASDAQ,NMS,1,etf,2023-10-27T23:59:53.261+0000,2023-10-27T23:59:53.261+0000,A,22.75,-0.34,-0.0147,484298,2731672779,4120152801,United States,US,0,23.09,63.57,16.38,22.55,23.02,22.06,0.0416,,,22.73,-0.02,-0.0009,sr,757786,0.19,0.35,22.75,,,totalPosition
913254746,11,2,[61],6,247,USD,Shopify Inc,SHOP,SHOP,NYSE,NYSE,1,stock,2023-10-27T23:59:58.948+0000,2023-10-27T23:59:58.948+0000,A,46.40,-0.29,-0.0062,67828,,,United States,US,-29.2726,46.69,71.43,30.44,48.13,48.18,46.06,0.0454,2023-11-02,,46.38,-0.02,-0.0004,sr,748930,0.81,0.91,46.40,59520650496,0.0095,totalPosition
950153166,96,2,[61],6,247,USD,Draftkings Inc,DKNG,DKNG,NASDAQ,NSQ,1,stock,2023-10-27T23:52:28.462+0000,2023-10-27T23:52:28.462+0000,A,26.64,0.42,0.0160,48604,,,United States,US,-10.3060,26.22,34.49,10.69,26.88,27.18,26.15,0.0395,2023-11-02,,26.63,-0.01,-0.0004,sr,746480,1.19,0.78,26.64,12360288325,0.0229,totalPosition
913256359,96,2,[61],6,247,USD,Cisco Sys Inc,CSCO,CSCO,NASDAQ,NSQ,1,stock,2023-10-27T23:56:59.326+0000,2023-10-27T23:56:59.326+0000,A,51.56,0.19,0.0037,30880,,,United States,US,16.7806,51.37,58.19,43.39,51.64,52.15,51.40,0.0146,2023-11-15,,51.66,0.10,0.0019,sr,745144,0.55,0.62,51.56,208845937218,0.0033,totalPosition
913243088,34,3,"[1, 34]",6,247,USD,Utilities Select Sector SPDR® ETF,XLU,XLU,NYSEARCA,PSE,1,etf,2023-10-27T22:12:14.958+0000,2023-10-27T22:12:14.958+0000,A,58.73,-1.13,-0.0189,44889,1.207675579E+10,13106721884,United States,US,0.0000,59.86,73.79,54.77,59.60,59.94,58.55,0.0232,,,58.79,0.06,0.0010,sr,727243,0.80,0.87,58.73,,,totalPosition
950181408,96,2,[61],6,247,USD,"Coinbase Global, Inc.",COIN,COIN,NASDAQ,NSQ,1,stock,2023-10-27T23:59:35.239+0000,2023-10-27T23:59:35.239+0000,A,70.78,-3.83,-0.0513,180016,,,United States,US,-12.5405,74.61,114.43,31.55,76.45,76.50,70.42,0.0814,2023-11-02,,71.06,0.28,0.0040,sr,717334,1.40,0.92,70.78,16787334550,0.0380,totalPosition
913323808,11,2,[61],6,247,USD,Medical Prop,MPW,MPW,NYSE,NYSE,1,stock,2023-10-27T23:59:20.385+0000,2023-10-27T23:59:20.385+0000,A,4.900,-0.260,-0.0504,77603,,,United States,US,41.9521,5.16,14.00,4.440,5.24,5.25,4.800,0.0872,,02/21-02/26,4.950,0.050,0.0102,sr,716172,3.06,1.88,4.900,2932160000,0.0258,totalPosition
913324070,11,2,[61],6,247,USD,Occidental Pet,OXY,OXY,NYSE,NYSE,1,stock,2023-10-27T23:59:59.171+0000,2023-10-27T23:59:59.171+0000,A,62.23,-1.04,-0.0164,49900,,,United States,US,10.5074,63.27,76.11,55.51,63.52,63.76,61.87,0.0296,2023-11-07,,62.29,0.06,0.0010,sr,694038,0.74,0.95,62.23,55053753890,0.0104,totalPosition
913244722,34,3,"[6, 34]",6,247,USD,Direxion Daily Semicondct Bull 3X ETF,SOXL,SOXL,NYSEARCA,PSE,1,etf,2023-10-27T23:59:52.415+0000,2023-10-27T23:59:52.415+0000,A,15.10,0.37,0.0251,118885,783433041,5455590111,United States,US,0.0000,14.73,28.75,7.53,15.30,15.57,14.93,0.0434,,,15.09,-0.01,-0.0007,sr,687970,0.54,0.51,15.10,,,totalPosition
